epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3147,0.99056,3.19402,1.37202,0.00419,0.75,0.06078,0.0442,1.52609,3.7662,1.68347,5.716e-05,5.716e-05,5.716e-05
2,72.6729,0.93844,2.99051,1.34244,0.00342,0.70833,0.12926,0.10356,1.61594,3.7999,1.81946,0.000126064,0.000126064,0.000126064
3,101.665,0.88935,2.66674,1.3231,0.00372,0.70833,0.21253,0.10737,1.70901,3.89006,1.89319,0.000192138,0.000192138,0.000192138
4,130.964,0.90668,2.37632,1.25821,0.00375,0.70833,0.22148,0.14865,1.79485,3.90427,1.93738,0.000255382,0.000255382,0.000255382
5,162.145,0.8835,2.14556,1.27378,0.0035,0.70833,0.25782,0.14929,1.60082,3.76307,1.88483,0.000315798,0.000315798,0.000315798
6,195.015,0.85395,1.87391,1.21287,0.00354,0.70833,0.42911,0.28358,1.65769,3.47326,1.81754,0.000373383,0.000373383,0.000373383
7,224.108,0.92544,1.90412,1.29751,0.62119,0.67166,0.52079,0.46077,1.72232,3.2476,1.97913,0.00042814,0.00042814,0.00042814
8,252.438,0.90889,1.81576,1.33409,0.34719,0.51334,0.43758,0.35896,1.63886,3.00501,1.88766,0.000480067,0.000480067,0.000480067
9,281.611,0.82422,1.52054,1.23345,0.61757,0.66667,0.42902,0.34967,1.57446,3.0298,1.82954,0.000529164,0.000529164,0.000529164
10,312.744,0.75502,1.4559,1.1769,0.62167,0.66667,0.51229,0.47019,1.63685,2.92984,2.13609,0.000575433,0.000575433,0.000575433
11,349.226,0.84427,1.49827,1.25051,0.6009,0.62667,0.41173,0.31177,1.72491,2.90942,2.13286,0.000618871,0.000618871,0.000618871
12,385.932,0.82104,1.40071,1.19333,0.862,0.33333,0.35499,0.25889,1.70103,3.33309,2.01273,0.000659481,0.000659481,0.000659481
13,422.232,0.78209,1.29956,1.16496,0.88723,0.32835,0.3688,0.26133,1.7985,3.27748,2.04978,0.000697261,0.000697261,0.000697261
14,458.733,0.73678,1.36938,1.19646,0.7963,0.20833,0.29447,0.24964,1.69129,3.19272,2.06093,0.000732211,0.000732211,0.000732211
15,495.019,0.79743,1.27732,1.18253,0.76667,0.20833,0.20911,0.15353,1.82257,3.33651,2.17055,0.000764332,0.000764332,0.000764332
16,532.268,0.70737,1.14346,1.11318,0.62513,0.375,0.31312,0.28683,1.83374,3.19834,2.19363,0.000793624,0.000793624,0.000793624
17,568.619,0.827,1.20608,1.21892,0.87959,0.37489,0.42917,0.3556,1.86543,3.26497,2.14013,0.000820086,0.000820086,0.000820086
18,605.242,0.75944,1.18179,1.12024,0.39823,0.63958,0.42929,0.3281,2.01725,3.2025,2.15303,0.000843719,0.000843719,0.000843719
19,641.55,0.68831,1.06246,1.11264,0.35574,0.54167,0.44486,0.33188,2.17241,3.07995,2.28122,0.000864522,0.000864522,0.000864522
20,677.607,0.73164,1.15731,1.15542,0.18321,0.54167,0.30992,0.2698,2.08051,3.75982,2.30347,0.000882496,0.000882496,0.000882496
21,714.021,0.65576,1.08278,1.13957,0.94794,0.16667,0.32393,0.28944,2.00328,3.77672,2.16316,0.000863116,0.000863116,0.000863116
22,750.405,0.67545,1.15971,1.14019,0.93855,0.16667,0.28293,0.24514,2.08073,3.9899,2.33967,0.000834822,0.000834822,0.000834822
23,786.922,0.7076,1.08106,1.16137,0.89683,0.16667,0.2974,0.195,2.14567,4.28734,2.48387,0.000806528,0.000806528,0.000806528
24,823.329,0.67399,1.06219,1.11586,0.82294,0.16667,0.23446,0.11241,2.21054,4.10956,2.59632,0.000778233,0.000778233,0.000778233
25,859.51,0.72111,1.12405,1.17634,0.6231,0.16667,0.26313,0.12794,2.15448,4.18496,2.52417,0.000749939,0.000749939,0.000749939
26,895.819,0.73471,1.06882,1.1365,0.6093,0.16667,0.28763,0.18784,2.15086,4.23939,2.51781,0.000721645,0.000721645,0.000721645
27,932.064,0.67086,1.01477,1.13961,0.64085,0.16667,0.50492,0.253,2.08998,4.30155,2.53201,0.000693351,0.000693351,0.000693351
28,968.595,0.66119,1.08065,1.10886,0.61259,0.16828,0.51117,0.25796,2.28442,4.31567,2.61778,0.000665057,0.000665057,0.000665057
29,1004.56,0.59205,0.97255,1.09538,0.65799,0.20692,0.51119,0.23864,2.38999,4.05033,2.75306,0.000636762,0.000636762,0.000636762
30,1040.96,0.60745,0.90546,1.0316,0.6405,0.20833,0.51816,0.24853,2.18199,3.71573,2.56649,0.000608468,0.000608468,0.000608468
31,1077.1,0.6016,0.88743,1.0424,0.90347,0.20833,0.5495,0.28542,2.23448,3.61384,2.60688,0.000580174,0.000580174,0.000580174
32,1113.58,0.60122,0.85395,1.04444,0.34184,0.54167,0.39519,0.22813,2.11547,3.36423,2.52625,0.00055188,0.00055188,0.00055188
33,1150.8,0.59704,0.8294,1.04188,0.47877,0.54167,0.4008,0.25818,2.06347,3.28717,2.5212,0.000523586,0.000523586,0.000523586
34,1187.46,0.53871,0.86524,1.03474,0.76981,0.5,0.35933,0.26027,2.07518,3.44684,2.50089,0.000495291,0.000495291,0.000495291
35,1223.98,0.554,0.90468,1.02489,0.7985,0.5,0.52069,0.2842,2.0508,3.55661,2.51164,0.000466997,0.000466997,0.000466997
36,1260.22,0.54022,0.81114,1.04876,0.44783,0.5,0.5119,0.24197,2.05968,3.24155,2.49719,0.000438703,0.000438703,0.000438703
37,1296.53,0.50595,0.83327,1.02733,0.37743,0.5,0.29055,0.16474,2.13116,3.57892,2.47128,0.000410409,0.000410409,0.000410409
38,1332.8,0.52735,0.80851,1.01197,0.34174,0.5,0.28746,0.14146,2.12976,3.7429,2.5695,0.000382115,0.000382115,0.000382115
39,1369.23,0.55229,0.79796,1.04199,0.30623,0.5,0.28086,0.14945,2.07332,3.84188,2.47567,0.00035382,0.00035382,0.00035382
40,1405.47,0.48962,0.74417,1.00287,0.30278,0.5,0.28669,0.13171,2.11866,3.7621,2.399,0.000325526,0.000325526,0.000325526
41,1441.62,0.4689,1.0787,1.01779,0.29744,0.49819,0.28671,0.12926,2.1047,3.81422,2.45761,0.000297232,0.000297232,0.000297232
42,1477.35,0.40321,0.94416,0.95348,0.29452,0.50236,0.29019,0.11634,2.13577,3.70323,2.58181,0.000268938,0.000268938,0.000268938
43,1513.03,0.41239,0.96416,0.97437,0.65988,0.5,0.2846,0.11055,2.10366,3.81339,2.59608,0.000240644,0.000240644,0.000240644
44,1549.23,0.39675,0.87894,0.93534,0.28637,0.48937,0.28141,0.17521,2.16969,3.7871,2.55569,0.000212349,0.000212349,0.000212349
45,1584.91,0.3716,0.91874,0.92963,0.98848,0.16667,0.25549,0.17882,2.10012,3.94442,2.47059,0.000184055,0.000184055,0.000184055
46,1621.12,0.43593,0.9068,0.98198,0.24357,0.28241,0.26243,0.19941,2.1,4.07684,2.45338,0.000155761,0.000155761,0.000155761
47,1657.23,0.39357,0.86418,0.9396,0.6539,0.16667,0.26243,0.19054,2.099,4.12823,2.4424,0.000127467,0.000127467,0.000127467
48,1693.35,0.38605,0.8616,0.94158,0.65,0.16667,0.26243,0.19914,2.17601,3.99764,2.63125,9.91726e-05,9.91726e-05,9.91726e-05
49,1729.66,0.34382,0.88921,0.94277,0.27021,0.48948,0.29008,0.20764,2.14873,3.94523,2.59129,7.08784e-05,7.08784e-05,7.08784e-05
50,1765.69,0.3476,0.87538,0.92067,0.2657,0.49616,0.29008,0.20769,2.09453,3.9801,2.55796,4.25842e-05,4.25842e-05,4.25842e-05
